128,12
129,15
130,5
131,2
132,2
133,17
134,16
135,19
136,19
137,20
138,19
139,-1
140,10
141,14
142,20
143,1
144,10
145,10
146,20
147,9
148,7
149,13
150,-1
151,18
152,17
153,19
154,20
155,14
156,1
157,8
158,16
159,2
160,7
161,16
162,11
163,1
164,1
165,7
166,20
167,11
168,1
169,13
170,9
171,20
172,13
173,10
174,4
175,15
176,18
177,6
178,5
88,4
89,14
90,2
91,11
92,7
93,15
94,10
95,12
96,12
97,12
98,9
99,8
100,2
101,8
102,15
103,7
104,13
105,14
106,9
107,8
108,8
109,3
110,4
111,2
112,7
113,-1
114,15
115,17
116,12
117,12
118,16
119,11
120,20
121,17
122,8
123,13
124,2
125,20
126,20
127,10
