349,150
68,148
294,148
35,144
364,143
99,142
242,141
399,141
441,141
33,140
374,140
304,139
204,138
259,138
18,137
308,137
265,136
410,134
205,133
437,133
413,132
125,131
202,131
212,131
295,131
362,131
282,130
4,129
156,129
239,129
302,129
366,129
280,128
390,128
429,128
64,127
165,127
283,127
289,127
305,127
341,127
396,127
10,126
123,126
162,126
211,126
215,126
402,126
37,125
101,125
107,125
145,125
245,125
256,125
332,125
370,125
59,124
96,124
3,123
86,123
137,122
232,122
338,122
368,122
83,121
234,121
29,120
70,120
122,120
133,120
152,120
167,120
230,120
249,120
56,119
58,119
166,119
258,119
312,119
325,119
386,119
190,118
191,118
209,118
236,118
315,118
335,118
415,118
440,118
446,118
38,117
87,117
248,117
254,117
355,117
85,116
117,116
158,116
261,116
296,116
19,115
80,115
255,115
276,115
284,115
329,115
382,115
403,115
417,115
433,115
81,114
94,114
110,114
217,114
353,114
385,114
60,113
149,113
225,113
247,113
275,113
377,113
13,112
203,112
290,112
320,112
334,112
55,111
67,111
173,111
436,111
1,110
46,110
90,110
98,110
153,110
192,110
299,110
409,110
21,109
31,109
124,109
135,109
148,109
224,109
251,109
309,109
136,108
387,108
430,108
7,107
30,107
62,107
72,107
93,107
118,107
180,107
181,107
193,107
197,107
246,107
266,107
303,107
384,107
176,106
200,106
298,106
336,106
337,106
343,106
400,106
444,106
25,105
103,105
161,105
169,105
244,105
279,105
313,105
5,104
74,104
78,104
127,104
231,104
291,104
339,104
378,104
383,104
418,104
195,103
321,103
354,103
373,103
412,103
11,102
14,102
27,102
57,102
104,102
316,102
346,102
369,102
372,102
26,101
75,101
102,101
206,101
269,101
273,101
277,101
311,101
351,101
376,101
422,101
428,101
448,101
66,100
151,100
278,100
342,100
392,100
404,100
443,100
45,99
47,99
97,99
160,99
199,99
243,99
352,99
358,99
401,99
408,99
439,99
2,98
95,98
105,98
134,98
184,98
196,98
208,98
220,98
221,98
300,98
323,98
350,98
6,96
119,96
141,96
333,96
363,96
394,96
411,96
424,96
427,96
16,95
69,95
116,95
147,95
285,95
348,95
361,95
419,95
447,95
36,94
51,94
130,94
168,94
194,94
270,94
297,94
306,94
328,94
345,94
359,94
405,94
20,93
41,93
79,93
222,93
233,93
237,93
262,93
406,93
438,93
8,92
91,92
109,92
154,92
186,92
207,92
330,92
432,92
44,91
88,91
178,91
398,91
421,91
43,90
307,90
371,90
397,90
414,90
159,89
171,89
356,89
28,88
53,88
138,88
226,88
365,88
389,88
92,87
213,87
252,87
108,86
128,86
407,86
23,85
61,85
82,85
89,85
163,85
201,85
331,85
49,84
287,84
15,83
106,83
420,83
314,82
214,81
263,81
327,81
388,81
42,80
121,80
172,80
257,80
301,80
324,80
344,80
155,79
170,79
188,79
54,78
177,78
271,78
52,77
71,77
131,77
9,76
32,76
253,76
182,74
219,74
12,73
210,73
274,73
48,72
268,72
17,69
267,68
140,66
77,59
425,59
